STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,HEALTH_PROF,Health profession,WORKER_STATUS,Worker status,HEALTH_PROF_ACTIVITY_STATUS,Health profession activity status,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,OBS_STATUS4,Observation status 4,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,CZE,Czechia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,2.47,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,CZE,Czechia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,2.77,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,CZE,Czechia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,2.72,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,CZE,Czechia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2024,,2.76,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,2.79,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,2.79,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,2.8,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,2.88,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,2.98,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,3.07,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,2.89,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,2.98,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,3.02,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,EST,Estonia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2024,,3.06,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,19.41,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,19.63,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,19.73,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,20.02,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,20.04,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,20.47,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,22.56,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,23.05,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FIN,Finland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,23.5,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,12.87,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,13.09,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,13.31,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,12.73,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,12.68,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,12.79,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,FRA,France,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,12.66,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,6.48,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,6.96,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,7.57,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,8.04,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,8.26,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,12.45,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,12.43,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,12.36,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,11.91,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,11.95,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,12.6,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,13.52,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,14.04,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,14.29,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ISR,Israel,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2024,,14.51,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,10,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,10.34,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,10.39,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,10.41,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,10.43,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,10.25,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,10.66,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,11.01,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,ITA,Italy,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2024,,10.95,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,JPN,Japan,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,1.53,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,JPN,Japan,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,1.36,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,JPN,Japan,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,1.28,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,1.07,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,1.07,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,1.11,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,1.13,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,1.15,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2020,,1.19,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,1.26,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,1.28,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,1.3,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LVA,Latvia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2024,,1.33,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2015,,2.49,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2016,,2.61,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2017,,2.7,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2018,,2.83,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2019,,2.85,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2021,,2.01,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2022,,2.05,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_EMP@DF_CARE(1.1),Caring personnel (personal care workers),I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,CARE,Caring personnel,_Z,Not applicable,P,Practicing,_Z,Not applicable,2023,,2.23,,,,,,,,,,,,,,,
